,code,times_jan,times_mar,jan0,mar0,jan1,mar1
0,600062,1.26,1.27,18.57,23.34,18.53,23.61
1,600079,10.88,6.84,1.81,19.7,3.08,21.08
2,600080,5.54,3.51,2.31,12.8,3.33,11.7
3,600085,8.4,6.44,3.76,31.58,5.13,33.05
4,600129,4.1,2.9,4.3,17.65,6.38,18.5
5,600196,4.09,3.68,5.81,23.78,7.75,28.54
6,600201,22.6,11.73,1.36,30.74,2.94,34.48
7,600211,10.27,7.38,5.38,55.24,7.11,52.46
8,600216,2.07,1.41,6.23,12.87,8.67,12.25
9,600252,-116.0,15.69,-0.04,4.64,0.29,4.55
10,600272,3.48,2.53,5.64,19.62,7.23,18.31
11,600276,5.76,6.4,6.72,38.7,6.97,44.6
12,600285,5.43,4.27,2.34,12.7,2.89,12.35
13,600299,1.96,1.05,7.29,14.28,13.43,14.14
14,600329,4.95,3.51,3.65,18.06,5.63,19.76
15,600332,4.8,4.5,5.0,23.99,6.55,29.45
16,600351,3.65,2.11,2.71,9.88,4.29,9.04
17,600380,3.4,2.43,2.97,10.09,3.95,9.6
18,600420,5.84,4.96,2.7,15.76,3.4,16.85
19,600422,10.24,6.16,1.32,13.52,2.1,12.94
20,600436,11.78,9.58,3.87,45.58,5.27,50.48
21,600479,1.59,1.51,9.74,15.5,10.95,16.56
22,600488,1.68,1.22,3.77,6.34,5.23,6.36
23,600513,6.93,4.51,1.9,13.16,2.74,12.36
24,600518,9.24,7.16,1.93,17.83,2.58,18.46
25,600521,7.09,5.81,3.1,21.97,3.8,22.09
26,600535,12.22,8.79,3.28,40.09,4.53,39.83
27,600557,2.46,2.29,7.09,17.44,7.88,18.05
28,600566,16.24,9.66,1.89,30.69,3.33,32.16
29,600572,11.66,7.13,0.62,7.23,0.94,6.7
30,600594,7.41,5.4,2.27,16.81,3.4,18.37
31,600613,2.89,2.06,4.96,14.34,7.69,15.81
32,600664,1.77,1.42,4.77,8.44,5.27,7.5
33,600671,5.86,4.06,5.32,31.18,7.73,31.36
34,600721,4.67,3.14,3.96,18.5,5.86,18.4
35,600750,3.69,3.38,8.76,32.35,10.53,35.61
36,600771,11.56,7.79,2.92,33.75,5.16,40.21
37,600781,4.39,2.65,4.34,19.05,7.18,19.01
38,600789,2.81,2.04,3.48,9.78,4.83,9.84
39,600812,1.01,0.63,6.28,6.32,9.82,6.16
40,600976,12.71,6.36,2.54,32.29,5.09,32.38
41,600993,4.63,4.74,4.39,20.34,4.76,22.56
42,000004,12.11,7.03,3.69,44.7,5.67,39.84
43,000078,4.91,3.58,1.3,6.38,1.81,6.48
44,000423,5.66,5.09,9.7,54.9,12.84,65.3
45,000513,5.13,4.02,11.56,59.29,14.02,56.32
46,000518,4.14,1.95,2.25,9.32,4.12,8.02
47,000538,4.82,5.17,15.33,73.9,17.19,88.86
48,000566,6.01,4.78,2.12,12.74,2.9,13.86
49,000590,4.73,3.58,4.21,19.91,5.54,19.83
50,000597,0.82,0.66,12.51,10.2,20.5,13.51
51,000606,4.73,3.56,2.41,11.41,3.3,11.75
52,000623,2.73,1.68,11.4,31.14,18.39,30.92
53,000650,4.11,2.57,1.71,7.03,2.64,6.78
54,000661,7.28,5.59,15.54,113.19,21.18,118.45
55,000739,5.21,4.18,1.49,7.77,2.11,8.81
56,000756,3.45,2.85,3.67,12.67,4.97,14.15
57,000766,5.74,4.12,3.16,18.15,4.44,18.31
58,000790,4.61,2.83,2.92,13.47,4.34,12.27
59,000806,6.89,3.81,2.3,15.85,3.18,12.12
60,000813,5.18,4.04,1.89,9.79,2.45,9.91
61,000908,3.18,1.72,3.35,10.66,5.98,10.3
62,000915,11.92,7.83,2.83,33.73,4.15,32.5
63,000919,3.44,2.13,4.03,13.88,6.33,13.5
64,000952,2.36,1.9,8.34,19.67,10.95,20.85
65,000963,12.15,11.63,2.93,35.61,3.77,43.83
66,000989,5.07,3.28,4.31,21.84,6.67,21.88
67,000999,2.0,1.98,12.5,24.99,13.83,27.4
68,002001,3.27,2.48,5.89,19.26,7.83,19.39
69,002004,9.4,4.9,0.96,9.02,1.71,8.38
70,002007,4.67,4.25,7.58,35.43,8.58,36.48
71,002019,4.33,4.48,3.54,15.34,3.82,17.1
72,002020,9.56,8.53,1.19,11.38,1.44,12.29
73,002030,11.81,8.71,1.98,23.38,2.6,22.64
74,002038,2.28,2.29,12.31,28.08,11.86,27.15
75,002099,7.02,4.61,1.22,8.57,1.73,7.98
76,002102,6.75,5.63,0.76,5.13,0.92,5.18
77,002107,2.77,2.23,6.03,16.72,7.16,15.94
78,002118,3.66,3.07,2.03,7.43,2.31,7.1
79,002166,7.49,6.52,1.6,11.99,1.99,12.98
80,002198,6.87,6.19,1.98,13.6,2.31,14.31
81,002219,10.77,11.55,1.13,12.17,1.1,12.7
82,002262,7.0,7.42,1.9,13.3,1.9,14.1
