,code,name,times_4,net40,net41
126,002199,东晶电子,0.71,2272.78,1619.67
127,300044,赛为智能,21.63,466.15,10081.95
128,000999,华润三九,7.26,16492.25,119784.06
129,000931,中 关 村,6.53,419.14,2735.81
130,600062,华润双鹤,4.33,16489.34,71421.09
131,002273,水晶光电,12.48,2033.3,25366.9
132,600764,中电广通,-0.09,-8068.15,726.71
133,600422,昆药集团,22.84,1783.03,40725.61
134,600685,中船防务,0.24,29361.66,7122.43
135,600022,山东钢铁,-0.69,87155.55,-59989.16
136,600211,西藏药业,64.44,307.73,19828.95
137,600079,人福医药,7.75,10747.43,83240.34
138,000581,威孚高科,18.94,8827.97,167222.43
139,000799,酒鬼酒,-0.46,-23404.23,10858.44
140,600571,信雅达,11.84,1035.16,12261.34
141,601238,广汽集团,5.31,118497.19,628821.59
142,600596,新安股份,0.24,32242.4,7755.98
143,600276,恒瑞医药,12.53,20664.78,258895.21
144,002359,齐星铁塔,-2.45,1973.35,-4841.51
145,600699,均胜电子,-5.13,-8849.23,45369.38
146,601601,中国太保,11.96,100800.0,1205700.0
147,002176,江特电机,7.38,2672.06,19729.7
148,000031,中粮地产,4.13,17442.83,72015.39
149,000922,*ST佳电,10.76,-4057.78,-43666.84
150,601607,上海医药,46.52,6871.04,319639.46
151,000811,烟台冰轮,7.61,3953.82,30088.55
152,000676,智度股份,10.42,3034.25,31611.38
153,601179,中国西电,3.42,32988.38,112789.08
154,000338,潍柴动力,3.57,68436.98,244118.86
155,000584,友利控股,-62.86,650.79,-40911.48
156,300052,中青宝,-11.65,426.95,-4972.93
157,002085,万丰奥威,16.92,5661.61,95796.14
158,000637,茂化实华,0.51,12092.5,6140.64
159,002028,思源电气,2.45,14328.4,35142.51
160,002013,中航机电,40.78,1430.13,58314.09
161,002229,鸿博股份,0.25,4993.76,1268.01
162,600572,康恩贝,7.77,5675.86,44106.95
163,600703,三安光电,-30.78,-7039.65,216665.23
164,002594,比亚迪,5.0,101019.0,505215.4
165,601333,广深铁路,1.63,71086.85,115825.38
166,002279,久其软件,7.4,2955.9,21860.97
167,600216,浙江医药,7.43,6061.86,45010.2
