,code,name,times_4,net40,net41
0,603803,N瑞斯,1.06,23976.88,25335.67
1,603081,N大丰,1.25,16034.22,20074.9
2,603797,联泰环保,1.17,5417.72,6348.68
3,002863,今飞凯达,1.27,5748.48,7311.25
4,603165,荣晟环保,1.59,7719.44,12274.65
5,002860,星帅尔,1.26,5838.79,7373.71
6,603225,新凤鸣,2.4,30448.39,73156.43
7,002861,瀛通通讯,0.77,13455.58,10415.46
8,300632,光莆股份,1.38,3111.47,4302.69
9,300641,正丹股份,0.97,13800.68,13444.99
10,300640,德艺文创,1.39,3187.67,4446.56
11,002862,实丰文化,0.94,4277.03,4007.67
12,300604,长川科技,1.66,2491.29,4141.66
13,300639,凯普生物,1.17,6521.22,7609.46
14,603050,科林电气,1.17,5663.97,6653.9
15,603906,龙蟠科技,1.55,5774.34,8960.53
16,603826,坤彩科技,1.08,10049.04,10874.83
17,300637,扬帆新材,1.44,4175.4,6026.38
18,000971,高升控股,42.68,260.19,11104.25
19,300085,银之杰,1.11,7296.07,8079.68
20,300638,广和通,1.15,3491.83,4032.15
21,300633,开立医疗,1.22,10587.13,12892.82
22,002264,新 华 都,-0.15,-37393.51,5438.36
23,600477,杭萧钢构,3.72,12051.04,44875.84
24,601228,广州港,1.0,67249.25,67087.88
25,603198,迎驾贡酒,1.29,53039.91,68300.66
26,000711,京蓝科技,0.32,3762.61,1198.89
27,002475,立讯精密,1.07,107850.85,115653.35
28,603966,法兰泰克,1.06,5385.71,5693.87
29,002846,英联股份,1.23,4514.66,5541.99
30,000049,德赛电池,1.11,23022.34,25530.13
31,603007,花王股份,1.06,6780.61,7194.81
32,000823,超声电子,2.05,9139.18,18722.18
33,300072,三聚环保,1.97,82056.48,161705.3
34,600874,创业环保,1.34,33053.7,44316.8
35,600116,三峡水利,1.12,20718.35,23130.72
36,300503,昊志机电,1.45,4344.57,6278.08
37,000568,泸州老窖,1.31,147297.81,192774.35
38,002232,启明信息,14.61,312.98,4571.71
39,600702,沱牌舍得,11.25,712.81,8019.9
40,600535,天士力,0.8,147854.9,117642.49
41,000521,美菱电器,8.31,2649.63,22021.67
