,code,name,times_3,times_4,net30,net40,net31,net41
0,000971,高升控股,-1.37,-1.5,-4083.84,-7403.62,5607.22,11104.25
1,600477,杭萧钢构,4.44,6.35,6731.8,7064.42,29913.24,44875.84
2,000711,京蓝科技,-1.89,0.64,1682.58,1863.22,-3188.24,1198.89
3,002321,华英农业,1.32,1.07,6963.71,8520.66,9205.6,9147.05
4,600230,沧州大化,2.77,5.29,2983.26,7019.86,8272.34,37106.39
5,000823,超声电子,0.93,1.03,12039.35,18194.09,11225.86,18722.18
6,600874,创业环保,1.67,1.61,22018.6,27578.6,36675.5,44316.8
7,000568,泸州老窖,0.75,0.66,200771.76,290502.72,150637.68,192774.35
8,600452,涪陵电力,16.44,16.77,787.44,1001.52,12947.47,16794.64
9,600702,沱牌舍得,0.58,0.41,9417.64,19520.87,5480.57,8019.9
10,600535,天士力,1.92,1.93,52325.86,61081.12,100310.79,117642.49
11,000521,美菱电器,1.26,2.07,13101.7,10661.47,16528.87,22021.67
12,300131,英唐智控,6.17,9.84,2372.73,2046.99,14641.69,20143.02
13,600873,梅花生物,1.33,1.45,50103.19,71950.19,66452.69,104168.99
14,000513,丽珠集团,2.19,2.18,28085.35,35936.99,61477.4,78435.36
15,002302,西部建设,2.01,2.85,9027.97,11117.54,18139.83,31630.98
16,002349,精华制药,2.7,3.43,4172.55,4810.18,11259.46,16502.97
17,600099,林海股份,1.41,0.59,129.93,327.56,182.9,193.4
18,000910,大亚圣象,2.23,3.86,12649.83,14013.88,28203.75,54111.82
19,000423,东阿阿胶,2.0,2.16,61293.91,85616.62,122593.21,185247.35
20,002415,海康威视,5.58,5.01,86898.66,148101.3,484995.75,742226.2
21,002648,卫星石化,0.2,0.49,50758.73,62972.48,9938.69,31156.46
22,600332,白云山,4.4,5.24,23999.43,28753.1,105642.23,150803.27
23,002389,南洋科技,1.36,1.21,7246.08,10135.44,9838.25,12277.68
24,600305,恒顺醋业,71.47,16.91,163.71,1007.99,11700.85,17041.12
25,002296,辉煌科技,1.77,0.89,3209.79,9557.0,5687.45,8507.01
26,300145,中金环境,4.54,5.24,6494.05,9729.95,29451.09,50998.61
27,600516,方大炭素,0.15,0.11,52624.7,61404.39,7875.2,6744.89
28,002424,贵州百灵,2.5,2.31,12592.93,20838.1,31431.34,48232.71
29,600566,济川药业,82.15,118.0,823.13,791.65,67617.37,93418.29
30,002601,龙蟒佰利,0.37,1.23,32556.64,35947.5,11948.32,44210.51
31,600309,万华化学,1.63,1.98,153853.17,185390.03,250025.28,367942.18
32,600068,葛洲坝,1.74,2.19,128833.61,155031.96,224285.7,339531.26
33,600755,厦门国贸,2.23,1.93,35142.05,54110.54,78373.74,104319.77
34,000822,山东海化,0.2,-0.32,33402.97,38891.43,6662.22,-12308.68
35,600486,扬农化工,2.73,2.86,10796.21,15370.51,29446.3,43926.06
36,600436,片仔癀,2.49,2.1,19336.68,25486.8,48105.67,53613.19
37,600570,恒生电子,1.93,0.07,10666.65,25441.05,20535.46,1829.14
38,000586,汇源通信,0.33,0.16,826.19,1858.66,268.78,301.95
39,300225,金力泰,1.26,1.42,3952.03,4947.75,4971.25,7023.55
40,600328,兰太实业,1.26,0.93,4801.34,8981.1,6032.31,8327.95
41,600479,千金药业,1.16,1.8,5681.26,8282.13,6586.0,14942.87
42,002386,天原集团,-0.59,2.66,8206.96,2072.58,-4866.74,5513.83
43,600518,康美药业,4.04,3.32,64081.92,100503.1,259173.83,334040.36
44,002040,南 京 港,0.73,2.29,2916.63,3690.61,2123.08,8461.13
45,600089,特变电工,1.73,1.78,102046.5,122923.82,176663.35,219034.82
46,000028,国药一致,2.94,3.59,24623.8,33030.75,72281.23,118660.19
47,002410,广联达,1.29,1.52,17708.04,27873.38,22875.64,42309.6
48,600771,广誉远,0.15,0.41,29524.75,29971.65,4507.05,12281.01
49,002051,中工国际,2.33,2.76,30565.19,46312.89,71174.59,127960.73
50,002259,升达林业,0.61,-4.44,1559.22,-1607.97,956.69,7138.27
51,002595,豪迈科技,3.48,3.37,16259.68,21289.36,56574.99,71766.57
52,600835,上海机电,1.76,2.04,64913.31,71148.03,114285.79,144909.1
53,002589,瑞康医药,6.78,7.03,5494.55,8405.73,37239.35,59075.89
54,000756,新华制药,1.11,1.61,8001.23,7602.37,8918.02,12227.15
55,000963,华东医药,4.08,3.79,29329.91,38148.5,119531.18,144659.17
56,600987,航民股份,2.05,2.05,17381.24,26460.1,35711.75,54281.05
57,000089,深圳机场,0.78,0.86,52774.19,65730.95,40934.94,56243.09
58,601668,中国建筑,2.58,2.21,960152.3,1353697.1,2476562.3,2987010.4
59,000069,华侨城Ａ,1.93,2.17,151434.02,317716.28,291699.5,688841.79
60,002195,二三四五,7.6,9.77,4818.64,6497.02,36625.51,63496.56
61,600976,健民集团,0.91,0.83,6198.5,7825.14,5623.96,6465.56
62,600663,陆家嘴,1.33,2.69,101524.26,98492.93,135221.77,264873.6
63,300223,北京君正,0.13,0.11,6208.55,6426.51,814.53,705.21
64,600867,通化东宝,1.22,1.76,40881.67,36398.15,50046.95,64092.34
65,300244,迪安诊断,6.18,6.23,3043.95,4220.83,18813.21,26276.09
66,002294,信立泰,3.63,3.45,28620.18,40524.94,103957.83,139641.42
67,600060,海信电器,1.29,1.04,88611.05,168906.71,113977.81,175886.9
68,000553,沙隆达Ａ,0.57,-1.41,3618.85,5286.4,2050.03,-7449.0
69,600176,中国巨石,5.84,5.2,19559.46,29229.41,114181.91,152103.51
70,002185,华天科技,2.92,4.95,9972.47,7895.61,29144.11,39092.07
71,600966,博汇纸业,0.59,1.57,18252.47,12829.42,10713.09,20131.96
72,600828,茂业商业,3.27,2.9,14024.12,19573.04,45806.04,56802.79
73,600729,重庆百货,0.83,0.69,47613.6,60469.84,39538.59,41871.09
74,600628,新世界,0.29,1.18,14116.34,21368.41,4107.73,25272.05
75,601880,大连港,0.66,0.8,52266.91,66633.76,34558.37,53101.27
76,000895,双汇发展,11.78,7.8,27826.75,56489.3,327706.76,440505.64
77,000927,一汽夏利,-7.59,1.48,10869.71,10937.63,-82522.41,16232.7
78,002363,隆基机械,1.11,1.11,4749.1,5412.32,5289.98,6015.6
79,000888,峨眉山Ａ,1.26,1.32,11509.78,14509.96,14470.45,19119.95
80,600660,福耀玻璃,1.86,2.08,116730.98,151260.69,217540.29,314422.73
81,600138,中青旅,1.99,1.81,22054.1,26726.29,43867.92,48351.53
82,600196,复星医药,2.04,2.41,106754.66,116560.76,217688.87,280583.71
83,300122,智飞生物,0.05,0.17,12898.11,19638.36,676.13,3252.03
84,601186,中国铁建,1.83,1.78,498978.0,785429.2,912333.1,1399961.0
85,000026,飞亚达Ａ,0.79,0.69,13739.11,15945.78,10832.13,11066.27
86,600742,一汽富维,1.11,1.0,30684.08,42809.2,34128.57,42726.88
87,002517,恺英网络,12.68,17.18,3406.03,3968.38,43184.35,68174.26
88,002001,新 和 成,0.9,1.03,94076.11,116439.26,84535.75,120263.35
89,000417,合肥百货,0.6,0.56,38720.54,50465.15,23071.26,28347.66
90,002083,孚日股份,1.42,2.8,17019.85,13489.36,24168.74,37816.2
91,601139,深圳燃气,2.2,1.9,34060.73,40530.43,74847.46,77200.96
92,000738,航发控制,1.19,1.15,13313.71,18122.44,15888.43,20884.44
93,002032,苏 泊 尔,2.11,2.27,35254.68,47564.02,74214.01,107751.92
94,600557,康缘药业,1.8,2.05,16275.38,18250.81,29299.2,37374.1
95,600315,上海家化,1.55,0.6,28001.99,36125.4,43342.77,21601.67
96,600188,兖州煤业,0.17,0.24,612952.96,862278.88,101801.2,206458.5
97,300030,阳普医疗,0.86,0.85,2502.36,3567.49,2151.49,3047.74
98,600528,中铁工业,0.28,0.32,41249.38,52330.38,11498.27,16786.48
99,600056,中国医药,4.3,3.52,17360.67,26900.38,74592.75,94813.73
100,600438,通威股份,7.73,12.24,11663.96,8371.14,90161.5,102472.44
101,002234,民和股份,1.32,0.82,18923.45,18705.98,24996.42,15378.98
102,002521,齐峰新材,1.97,1.82,4788.8,7819.58,9448.21,14193.28
103,002433,太安堂,3.58,3.28,4587.89,7415.26,16422.09,24332.76
104,600017,日照港,0.58,0.37,39817.81,48062.51,23096.97,17624.32
