,code,name,times_4,net40,net41
0,600683,京投发展,3.9,7452.88,29046.34
1,002333,罗普斯金,1.62,8666.1,14082.2
2,600652,游久游戏,26.22,447.43,11732.0
3,002822,中装建设,1.25,12529.62,15618.32
4,300259,新天科技,0.99,10591.57,10530.02
5,603993,洛阳钼业,0.85,117420.37,99804.06
6,600760,中航黑豹,1.57,1768.09,2776.52
7,300534,陇神戎发,1.15,4091.21,4725.23
8,600071,凤凰光学,4.09,-2823.02,-11539.68
9,002072,凯瑞德,-0.24,-6042.67,1435.64
10,600802,福建水泥,0.73,1904.58,1381.3
11,603165,荣晟环保,2.71,4530.79,12274.65
12,600239,云南城投,0.76,31986.07,24413.94
13,600892,大晟文化,54.04,282.52,15268.31
14,600250,南纺股份,0.14,11867.58,1719.22
15,002302,西部建设,0.78,40710.11,31630.98
16,000905,厦门港务,0.63,32930.5,20660.79
17,002288,超华科技,-1.34,4607.96,-6193.43
18,002089,新 海 宜,0.32,8535.3,2738.77
19,300449,汉邦高科,0.61,5261.23,3190.93
20,002485,希努尔,0.1,7139.11,746.86
21,300344,太空板业,1.0,2474.61,2472.23
22,300562,乐心医疗,2.29,3516.84,8052.07
23,000810,创维数字,130.72,372.09,48640.2
24,000912,泸天化,2.14,-29751.24,-63720.06
25,601020,华钰矿业,1.48,12622.15,18716.59
26,002125,湘潭电化,3.9,569.78,2224.07
27,000639,西王食品,0.75,18094.86,13481.51
28,300136,信维通信,-8.1,-6561.2,53156.87
29,002519,银河电子,2.77,11185.52,30997.94
30,600588,用友网络,0.36,54790.23,19739.17
31,000547,航天发展,1.76,13843.92,24402.04
32,002837,英维克,2.15,3332.31,7180.56
33,000507,珠海港,1.13,9209.99,10421.92
34,300073,当升科技,10.23,970.35,9928.78
35,002038,双鹭药业,0.78,57739.74,45210.76
36,603696,XD安记食,0.77,5269.19,4079.57
37,300410,正业科技,2.22,3276.52,7283.65
38,603799,华友钴业,0.56,12267.28,6923.75
39,600539,狮头股份,0.08,-13016.59,-1047.95
40,000022,深赤湾Ａ,1.06,50289.45,53237.65
41,002340,格林美,1.83,14411.51,26373.19
42,600885,宏发股份,1.77,32818.46,58176.85
43,000663,永安林业,11.05,1112.24,12291.03
44,300128,锦富技术,0.39,9695.98,3820.12
45,600602,云赛智联,2.08,11406.85,23772.06
46,002862,实丰文化,1.24,3239.09,4007.67
47,600677,航天通信,0.74,3424.16,2541.86
48,000605,渤海股份,-3.5,-1215.35,4254.59
49,000586,汇源通信,0.21,1461.41,301.95
50,002545,东方铁塔,0.81,16880.55,13649.5
51,600491,龙元建设,1.57,22162.85,34842.37
52,600967,内蒙一机,1.92,25852.49,49650.87
53,300618,寒锐钴业,4.26,1562.2,6657.5
54,300167,迪威视讯,5.63,521.52,2938.57
55,002276,万马股份,0.98,22001.7,21521.82
56,000892,欢瑞世纪,-429.06,-61.78,26507.31
57,000069,华侨城Ａ,1.56,440828.79,688841.79
58,600855,航天长峰,1.84,3145.91,5774.49
59,000753,漳州发展,1.82,11222.75,20397.09
60,300143,星河生物,-0.34,-16315.9,5508.04
61,600706,曲江文旅,0.63,8475.11,5340.1
62,000911,南宁糖业,0.38,4937.12,1897.99
63,300490,华自科技,1.16,4153.82,4821.4
64,002053,云南能投,7.23,3733.95,27012.68
65,002136,安 纳 达,-0.93,-4585.99,4251.11
66,002188,巴士在线,11.91,785.93,9360.07
67,000659,*ST中富,0.52,-111048.18,-57349.47
68,300191,潜能恒信,0.12,9220.84,1136.35
69,000760,斯太尔,13.5,341.08,4605.31
70,600714,金瑞矿业,2.54,2268.8,5762.33
71,300197,铁汉生态,2.21,23576.58,52206.56
72,600456,宝钛股份,3.16,1166.4,3686.21
73,002158,汉钟精机,1.12,14920.83,16645.29
74,600745,中茵股份,0.89,5383.71,4798.15
75,300324,旋极信息,16.98,2222.05,37729.9
76,000962,东方钽业,8.19,354.1,2900.49
77,600848,上海临港,33.49,1204.26,40336.5
78,002835,同为股份,1.02,6298.25,6424.41
79,000615,京汉股份,-2.98,-3664.21,10924.51
80,300397,天和防务,-0.48,14642.85,-7069.57
81,000877,天山股份,0.36,28020.35,9978.54
82,600684,珠江实业,0.74,44957.12,33317.1
83,600711,盛屯矿业,1.78,10610.63,18856.49
84,002812,创新股份,1.32,12483.16,16539.19
85,300409,道氏技术,1.68,6023.79,10114.65
86,601958,金钼股份,0.3,17802.26,5389.81
87,002539,云图控股,1.34,10669.19,14272.14
88,000559,万向钱潮,1.57,53062.31,83380.66
89,300157,恒泰艾普,0.65,13135.28,8495.38
90,601212,白银有色,0.78,32350.08,25152.44
91,000722,湖南发展,0.89,15810.59,14049.14
92,600346,恒力股份,106.61,1106.68,117983.43
93,002114,罗平锌电,-1.62,-5105.95,8291.35
94,002664,信质电机,1.6,14406.93,23095.78
95,300153,科泰电源,2.41,2012.64,4845.61
96,300540,深冷股份,0.63,6121.35,3858.87
97,600463,空港股份,0.37,7538.96,2814.87
98,603306,华懋科技,2.95,8899.99,26248.4
99,000638,万方发展,-0.87,-1203.09,1044.07
100,002745,木林森,1.09,43268.22,47345.94
101,600391,航发科技,1.33,3188.99,4255.0
102,300156,神雾环保,-4.64,-15203.75,70575.74
103,600764,中电广通,1.56,465.7,726.71
104,600498,烽火通信,1.46,51911.71,76043.34
105,300579,数字认证,1.44,4172.0,5996.08
106,600555,海航创新,-7.07,2724.95,-19264.46
107,002536,西泵股份,4.26,2530.4,10785.72
108,000088,盐 田 港,0.91,38846.45,35182.45
109,300275,梅安森,-0.69,10161.29,-6989.81
110,600167,联美控股,5.04,13868.46,69892.42
111,600879,航天电子,2.08,23029.53,47837.31
112,002479,富春环保,1.71,14297.75,24492.8
113,600008,首创股份,1.02,60126.55,61088.89
114,300401,花园生物,1.2,3643.29,4377.28
115,603444,吉比特,3.72,15753.89,58546.45
116,002103,广博股份,7.11,1679.85,11949.7
117,600057,象屿股份,1.77,24143.54,42644.19
118,600438,通威股份,3.35,30587.1,102472.44
119,000852,石化机械,-7.98,10378.79,-82872.2
120,300611,美力科技,2.02,2739.87,5535.13
121,600549,厦门钨业,0.32,45954.62,14700.33
122,002750,龙津药业,1.21,7505.59,9103.44
123,600562,国睿科技,2.42,9454.46,22837.82
124,300210,森远股份,0.74,10318.48,7647.1
125,300227,光韵达,0.9,1805.81,1618.58
126,600151,航天机电,1.39,14425.52,20045.26
127,300630,普利制药,2.81,2479.02,6977.85
128,600072,中船科技,0.24,-18234.65,-4292.95
129,300398,飞凯材料,1.04,6543.69,6778.68
130,600260,凯乐科技,2.32,7860.65,18222.96
131,000089,深圳机场,1.12,50229.61,56243.09
132,000725,京东方Ａ,0.8,235336.57,188257.17
133,000502,绿景控股,4.61,696.88,3211.34
134,000688,建新矿业,0.83,28225.1,23432.33
135,600563,法拉电子,1.36,28621.84,38955.45
136,600640,号百控股,0.22,8125.1,1787.07
137,600392,盛和资源,-0.22,14784.96,-3285.23
138,000710,*ST天仪,0.68,-615.69,-418.59
139,300389,艾比森,1.32,11431.04,15135.31
140,000628,高新发展,2.1,1399.69,2936.67
141,002845,同兴达,0.98,9971.88,9764.78
142,600365,通葡股份,0.21,986.6,207.07
143,600158,中体产业,0.45,13631.19,6100.99
144,600187,国中水务,0.11,14276.35,1618.9
145,002806,华锋股份,1.05,2496.53,2626.54
146,000426,兴业矿业,1.29,6940.63,8945.87
