,code,name,times_3,times_4,net30,net40,net31,net41
0,603225,新凤鸣,2.28,2.51,14613.57,29139.11,33380.02,73156.43
1,000971,高升控股,-3.79,27.07,-1478.54,410.16,5607.22,11104.25
2,002475,立讯精密,1.58,1.84,43053.83,63004.61,68068.39,115653.35
3,002321,华英农业,79.13,7.27,116.33,1257.91,9205.6,9147.05
4,000049,德赛电池,0.93,1.09,14413.57,23454.29,13336.27,25530.13
5,000823,超声电子,0.92,1.17,12221.83,15997.39,11225.86,18722.18
6,600116,三峡水利,1.69,1.63,11653.61,14203.88,19728.04,23130.72
7,000521,美菱电器,0.69,0.75,23921.78,29450.85,16528.87,22021.67
8,300131,英唐智控,8.24,9.36,1776.59,2152.48,14641.69,20143.02
9,600873,梅花生物,2.45,2.08,27125.78,50026.57,66452.69,104168.99
10,002349,精华制药,3.78,4.18,2976.06,3946.78,11259.46,16502.97
11,600099,林海股份,0.81,0.66,225.39,292.91,182.9,193.4
12,300115,长盈精密,2.47,2.36,19763.0,29017.55,48812.8,68373.99
13,000423,东阿阿胶,1.33,1.36,92312.97,136554.78,122593.21,185247.35
14,002415,海康威视,1.79,1.59,270972.05,466536.87,484995.75,742226.2
15,002648,卫星石化,0.44,9.57,22653.48,3255.51,9938.69,31156.46
16,300324,旋极信息,217.75,5.44,92.19,6937.35,20074.61,37729.9
17,300450,先导智能,7.94,4.44,1926.8,6551.45,15302.23,29065.21
18,002296,辉煌科技,1.84,0.86,3095.69,9900.78,5687.45,8507.01
19,300145,中金环境,2.16,2.59,13637.42,19674.0,29451.09,50998.61
20,600516,方大炭素,0.23,0.24,33921.47,27916.55,7875.2,6744.89
21,002424,贵州百灵,1.8,1.55,17479.29,31047.79,31431.34,48232.71
22,600566,济川药业,1.79,1.8,37871.33,51939.26,67617.37,93418.29
23,603369,今世缘,1.14,1.17,56471.99,64562.33,64647.48,75416.2
24,000822,山东海化,0.84,-0.74,7934.65,16526.35,6662.22,-12308.68
25,600436,片仔癀,1.61,1.22,29877.22,43882.88,48105.67,53613.19
26,600570,恒生电子,1.53,0.05,13381.6,36052.05,20535.46,1829.14
27,000586,汇源通信,1.02,0.44,264.28,686.46,268.78,301.95
28,600479,千金药业,1.03,1.42,6374.12,10509.29,6586.0,14942.87
29,002386,天原集团,0.62,0.91,-7898.51,6061.03,-4866.74,5513.83
30,300433,蓝思科技,1.01,1.02,78758.3,117685.73,79458.58,120359.48
31,600771,广誉远,24.09,3.35,187.12,3664.64,4507.05,12281.01
32,002595,豪迈科技,1.48,1.43,38172.45,50223.62,56574.99,71766.57
33,600835,上海机电,1.54,1.69,74158.21,85788.21,114285.79,144909.1
34,000756,新华制药,1.85,2.41,4810.25,5072.53,8918.02,12227.15
35,000089,深圳机场,2.13,2.1,19185.81,26799.6,40934.94,56243.09
36,002706,良信电器,1.58,1.62,8309.99,10027.48,13146.16,16219.62
37,300425,环能科技,1.21,1.29,3606.76,5397.92,4358.9,6953.38
38,002683,宏大爆破,0.27,0.38,11219.64,16570.35,2974.2,6263.27
39,600976,健民集团,0.55,0.56,10240.95,11597.04,5623.96,6465.56
40,600663,陆家嘴,1.37,1.65,98670.33,160150.04,135221.77,264873.6
41,000661,长春高新,2.24,1.52,16919.48,31817.13,37953.94,48485.25
42,300223,北京君正,-6.3,-0.7,-129.23,-1002.97,814.53,705.21
43,603696,安记食品,0.72,0.72,4097.98,5656.89,2970.99,4079.57
44,600867,通化东宝,2.28,2.29,21932.87,27978.09,50046.95,64092.34
45,002450,康得新,2.01,1.96,70405.93,100278.12,141450.27,196290.8
46,300365,恒华科技,2.3,2.07,1927.31,6061.7,4436.67,12542.89
47,600176,中国巨石,3.96,3.21,28813.57,47453.7,114181.91,152103.51
48,600828,茂业商业,2.59,2.93,17653.47,19416.12,45806.04,56802.79
49,600729,重庆百货,0.81,0.85,48559.19,49166.37,39538.59,41871.09
50,300492,山鼎设计,-5.55,0.79,-131.45,2561.36,729.68,2015.51
51,600132,重庆啤酒,1.65,2.46,15971.04,7343.52,26356.65,18099.01
52,000895,双汇发展,1.04,1.09,316249.49,403986.38,327706.76,440505.64
53,000927,一汽夏利,1.19,-0.1,-69495.17,-165913.05,-82522.41,16232.7
54,000888,峨眉山Ａ,1.02,1.01,14129.8,18950.4,14470.45,19119.95
55,600660,福耀玻璃,1.38,1.42,157645.44,221974.89,217540.29,314422.73
56,603898,好莱客,1.73,1.77,8902.68,14264.74,15372.45,25226.54
57,600742,一汽富维,0.86,0.77,39842.48,55274.11,34128.57,42726.88
58,603766,隆鑫通用,1.4,1.42,46536.35,61035.87,65308.22,86559.38
