,code,times_jan,times_mar,jan0,mar0,jan1,mar1
0,600031,1.07,1.34,5.89,6.3,5.61,7.51
1,600169,1.49,1.46,2.75,4.1,3.0,4.37
2,600320,1.51,1.63,3.42,5.15,3.45,5.64
3,600582,1.71,1.23,3.02,5.16,4.54,5.6
4,600761,1.44,1.63,8.99,12.97,9.41,15.3
5,600815,1.82,2.15,3.71,6.75,3.48,7.47
6,600984,1.64,1.93,5.38,8.8,5.66,10.95
7,601100,1.42,1.6,10.91,15.44,10.05,16.12
8,601106,2.73,2.19,2.02,5.51,2.02,4.42
9,601717,1.28,1.46,5.68,7.27,5.97,8.71
10,000157,0.95,1.04,4.81,4.58,4.64,4.83
11,000425,1.44,1.83,2.34,3.38,2.23,4.08
12,000528,1.37,1.63,5.45,7.47,5.5,8.98
13,000680,1.86,2.38,3.07,5.72,2.96,7.03
14,000811,1.61,1.37,9.55,15.38,12.25,16.78
15,000923,4.1,2.47,5.55,22.74,9.7,23.98
16,002011,1.17,1.16,8.34,9.73,8.1,9.4
17,002097,1.9,1.68,4.81,9.12,5.55,9.34
18,002158,1.33,1.23,7.77,10.34,8.73,10.75
19,002459,2.71,2.07,6.72,18.2,8.06,16.7
20,002483,1.24,1.18,6.09,7.53,7.08,8.33
21,002523,2.86,2.66,2.08,5.94,2.34,6.22
22,002535,1.31,0.96,5.05,6.62,7.52,7.22
23,002667,2.63,2.04,11.06,29.12,11.2,22.88
24,300035,1.93,1.89,3.95,7.63,4.3,8.11
25,300103,1.79,2.01,12.5,22.4,12.54,25.24
26,300185,2.21,2.15,1.41,3.11,1.4,3.01
27,300308,3.51,4.44,6.81,23.89,8.28,36.8
