,code,name,times_3,times_4,net30,net40,net31,net41
80,600797,浙大网新,6.18,3.43,3442.81,7149.59,21292.3,24522.58
81,600549,厦门钨业,-3.11,0.73,21281.75,20260.65,-66248.27,14700.33
82,002360,同德化工,1.79,3.1,4517.44,2668.4,8104.2,8273.91
83,600562,国睿科技,-4.74,-9.78,-3942.18,-2334.1,18678.57,22837.82
84,300210,森远股份,3.38,4.12,2651.18,1857.17,8971.27,7647.1
85,300227,光韵达,2.12,1.4,1234.62,1156.2,2615.48,1618.58
86,600151,航天机电,2.23,6.8,7748.24,2948.34,17261.55,20045.26
87,600072,中船科技,0.24,-0.47,9523.92,9215.41,2245.72,-4292.95
88,600260,凯乐科技,0.86,2.69,14286.53,6772.83,12336.98,18222.96
89,000089,深圳机场,0.91,2.34,57507.76,24001.3,52178.42,56243.09
90,000725,京东方Ａ,32.94,-2.33,4968.03,-80752.55,163627.05,188257.17
91,000688,建新矿业,-50.45,-22.64,-571.65,-1034.89,28839.21,23432.33
92,600563,法拉电子,2.73,3.97,12031.08,9817.12,32796.54,38955.45
93,600640,号百控股,12.91,-0.23,358.36,-7857.46,4625.25,1787.07
94,600198,大唐电信,0.49,-38.9,5747.4,4564.64,2844.39,-177562.35
95,002080,中材科技,2.77,4.27,10838.55,9409.02,30030.26,40140.33
96,002157,正邦科技,5.8,31.54,5372.75,3316.42,31143.5,104595.56
97,600365,通葡股份,-0.07,0.96,-3789.07,214.72,254.8,207.07
98,600158,中体产业,1.52,0.31,5097.69,19746.78,7759.21,6100.99
99,600187,国中水务,-6.02,0.41,1958.2,3964.94,-11787.43,1618.9
100,000426,兴业矿业,-0.32,-0.67,7874.78,-13374.12,-2484.43,8945.87
101,600367,红星发展,-22.95,1.36,829.7,3378.44,-19039.1,4585.95
102,600884,杉杉股份,6.99,3.44,9516.01,9603.32,66481.38,33016.31
103,300299,富春股份,3.16,9.38,2216.52,1170.75,6995.09,10980.17
104,002430,杭氧股份,0.57,-1.32,25077.62,21443.97,14410.54,-28261.87
105,600282,南钢股份,-17.58,2.87,13833.66,12320.35,-243242.59,35373.52
106,300064,豫金刚石,1.91,3.33,5246.1,4128.74,10021.01,13756.26
107,002581,未名医药,4.25,11.28,5882.38,3704.28,25025.38,41769.51
108,002283,天润曲轴,1.33,1.92,11300.75,10129.0,15026.12,19429.68
109,600880,博瑞传播,0.28,0.31,26290.85,19166.78,7466.22,6013.61
110,002105,信隆健康,-1.19,1.06,4612.39,2701.62,-5483.14,2855.17
111,000530,大冷股份,1.65,1.4,7863.13,12735.96,12994.73,17863.27
112,601890,亚星锚链,0.94,0.59,18768.04,9102.91,17718.09,5393.51
113,600871,石化油服,0.06,9.79,38201.8,-164528.5,2447.8,-1611476.3
114,300140,中环装备,0.14,2.28,4852.42,3946.73,668.79,9017.29
115,000498,山东路桥,1.38,47.63,27391.62,902.21,37700.57,42970.66
116,002476,宝莫股份,0.56,0.43,4281.54,3468.2,2413.84,1482.97
117,002467,二六三,0.84,-5.39,7034.2,7016.55,5891.85,-37826.62
