,code,times_jan,times_mar,jan0,mar0,jan1,mar1
731,000426,7.04,3.62,1.25,8.8,2.35,8.5
732,000428,2.32,1.06,3.12,7.25,6.74,7.17
733,000429,2.06,1.25,3.36,6.92,5.82,7.3
734,000430,4.35,2.13,2.8,12.18,5.88,12.55
735,000488,3.21,1.66,3.32,10.66,7.29,12.08
736,000498,4.17,2.09,1.96,8.18,4.1,8.57
737,000501,3.97,2.2,5.0,19.86,10.3,22.61
738,000503,5.95,3.32,7.03,41.83,9.76,32.4
739,000506,9.77,4.46,1.09,10.65,2.24,10.0
740,000507,2.45,1.47,2.6,6.37,4.83,7.11
741,000509,14.65,4.47,0.55,8.06,1.77,7.92
742,000510,4.87,1.67,2.47,12.03,6.53,10.88
743,000511,4.72,2.09,1.34,6.33,3.23,6.76
744,000513,26.74,8.76,2.2,58.83,6.28,55.0
745,000514,4.24,2.25,2.7,11.45,4.48,10.1
746,000518,4.03,1.83,2.21,8.9,4.38,8.01
747,000519,5.45,3.62,2.78,15.15,4.51,16.34
748,000523,6.41,3.62,1.79,11.48,3.1,11.23
749,000524,4.83,1.84,3.18,15.35,7.85,14.42
750,000525,2.93,1.98,6.02,17.61,9.76,19.35
751,000526,9.45,5.08,4.15,39.21,7.2,36.6
752,000528,1.0,1.03,7.39,7.36,8.44,8.69
753,000530,3.96,2.67,2.74,10.85,4.37,11.66
754,000532,7.28,3.25,2.53,18.41,5.3,17.22
755,000534,4.77,2.48,3.32,15.84,5.92,14.7
756,000537,1.57,1.45,5.9,9.25,6.83,9.93
757,000538,7.46,7.04,9.79,73.03,11.81,83.13
758,000539,1.59,0.8,3.37,5.35,6.84,5.48
759,000541,9.08,3.3,1.08,9.81,3.13,10.32
760,000543,3.72,1.56,2.05,7.63,4.5,7.02
761,000545,7.37,3.52,0.79,5.82,1.94,6.82
762,000546,3.89,2.07,2.95,11.48,5.86,12.11
763,000547,14.27,5.72,1.22,17.41,2.59,14.81
764,000548,1.72,1.01,4.8,8.28,9.41,9.5
765,000550,4.54,4.44,5.97,27.12,6.39,28.4
766,000551,3.19,2.07,3.33,10.63,5.29,10.97
767,000552,3.81,2.25,1.0,3.81,1.73,3.89
768,000553,7.35,3.38,2.0,14.7,4.39,14.84
769,000555,14.83,6.48,1.44,21.35,3.24,21.0
770,000557,3.2,1.44,1.72,5.51,4.31,6.19
771,000559,15.11,4.19,0.88,13.3,2.92,12.23
772,000561,6.34,2.68,1.96,12.43,5.44,14.6
773,000564,2.64,1.59,3.23,8.54,5.24,8.32
774,000565,8.51,4.45,1.48,12.59,2.9,12.9
775,000566,15.25,8.9,0.83,12.66,1.54,13.71
776,000567,10.03,5.26,3.77,37.8,6.19,32.53
777,000568,5.83,4.92,5.68,33.12,8.31,40.88
778,000570,3.89,1.98,2.5,9.73,4.5,8.92
779,000571,3.04,1.78,2.56,7.77,4.31,7.68
780,000572,1.72,0.65,3.13,5.39,9.14,5.92
781,000573,3.51,1.77,2.78,9.77,5.11,9.07
782,000576,5.68,3.59,2.77,15.73,4.68,16.8
783,000581,7.51,3.86,3.0,22.53,5.93,22.88
784,000585,2.72,1.65,2.58,7.02,4.93,8.12
785,000586,7.76,3.72,2.71,21.03,5.07,18.85
786,000587,20.58,7.97,0.74,15.23,1.97,15.71
787,000589,2.05,1.45,2.94,6.02,4.27,6.19
788,000593,3.31,1.61,3.43,11.34,6.48,10.46
789,000595,5.61,2.34,1.86,10.44,4.19,9.82
790,000597,3.09,1.95,3.23,9.99,6.67,13.03
791,000598,4.79,2.95,1.21,5.8,1.98,5.84
792,000599,3.21,1.81,2.48,7.97,4.54,8.21
793,000600,2.75,1.44,3.26,8.96,6.53,9.42
794,000601,3.22,1.87,2.72,8.76,4.44,8.3
795,000603,18.34,4.16,0.89,16.32,4.15,17.28
796,000605,5.59,2.02,3.8,21.26,9.87,19.9
797,000606,5.29,2.7,2.12,11.21,4.32,11.66
798,000607,4.44,2.14,2.61,11.6,4.68,10.0
799,000608,1.92,1.28,4.61,8.83,6.25,8.0
800,000610,4.19,2.43,3.55,14.86,5.83,14.16
